SU_ID,FINALWT,SURV_MODE,SURV_LANG,q1,Q3,q4,Q5A,Q5B,Q5C,Q5D,Q6,Q7A,Q7B,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q12,Q13_A,Q13_B,Q13_C,Q13_D,Q13_E,Q13_F,Q13A,Q13B,Q13C,q13cc,Q13D11,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q15A,Q15B,Q15C,Q15D,Q15E,Q15F,Q16A,Q16B,Q16C,Q16D,Q16E,Q16F,Q16G,Q16H,Q16I,Q16J,Q16K,Q16L,Q16M,Q17,Q18,Q19,POLITICS,DEMO,REPUB,INDEP,QVOTE2016,empstatus,MARITAL,agegrp,education,p_education,raceth,hhincome,GENDER,STATE,CENSUS_REGION
4672,0.9900425947,(2) Web Interview,(1) English,(2) Somewhat approve,(2) Generally pessimistic,"(12) Terrorism, homeland security, national security",(2) Very,(3) Moderately,(3) Moderately,(4) Slightly,(3) Functioning moderately well,(4) A little,(4) A little,,(2) Sometimes,(4) Never,(4) Never,(4) Never,(4) Never,(2) Somewhat better job,(5) Not well at all,(1) Extremely well,(3) Somewhat well,(3) Somewhat well,(1) Extremely well,(3) Somewhat well,(1) Helped the US economy,(1) Mentally fit to be president,(1) Generally honest,(3) Not done anything wrong,(2) Is not a racist,(1) Much more,(3) About the same,(2) Somewhat more,(3) About the same,(3) About the same,(3) About the same,(1) Much more,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) Neither favor nor oppose,(5) Strongly oppose,(3) Neither favor nor oppose,(2) Somewhat favor,(4) Somewhat oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(4) Somewhat oppose,(5) Strongly oppose,(3) Neither favor nor oppose,(2) Somewhat favor,(5) Strongly oppose,(3) Neither favor nor oppose,"(2) ""Take it down a notch""ù",(9) Mexican,(1) Personal car,(2) Republican,,(1) Strong Republican,,,,,(1) Age 15-17,,"(4) College graduate [Associates/community college, BA, or BS]","(1) White, non-Hispanic","(6) $50,000 to under $75,000",(2) Female,(IN) Indiana,(2) Midwest
366,1.0338104968,(2) Web Interview,(1) English,(2) Somewhat approve,(1) Generally optimistic,"(12) Terrorism, homeland security, national security",(5) Not at all,(4) Slightly,(4) Slightly,(5) Not at all,(4) Not functioning too well,(4) A little,(4) A little,,(3) Rarely,(4) Never,(4) Never,(4) Never,(4) Never,(3) About what you expected,(4) Not too well,(3) Somewhat well,(3) Somewhat well,(4) Not too well,(2) Very well,(3) Somewhat well,(1) Helped the US economy,(1) Mentally fit to be president,(1) Generally honest,(3) Not done anything wrong,(2) Is not a racist,(2) Somewhat more,(2) Somewhat more,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(2) Somewhat favor,(2) Somewhat favor,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(2) Somewhat favor,(2) Somewhat favor,(2) Somewhat favor,(4) Somewhat oppose,(2) Somewhat favor,(3) Neither favor nor oppose,(2) Somewhat favor,(2) Somewhat favor,(2) Somewhat favor,"(2) ""Take it down a notch""ù",(7) Japanese,(1) Personal car,(1) Democrat,(2) Moderate Democrat,,,,,,(1) Age 15-17,,"(4) College graduate [Associates/community college, BA, or BS]","(1) White, non-Hispanic","(9) $150,000 or more",(2) Female,(FL) Florida,(3) South
375,0.9274041401,(2) Web Interview,(1) English,(3) Lean toward approving,(1) Generally optimistic,(99) DONíT KNOW/SKIPPED/REFUSED (VOL),(4) Slightly,(4) Slightly,(4) Slightly,(4) Slightly,(2) Functioning very well,(4) A little,(4) A little,(8) 8,(3) Rarely,(4) Never,(4) Never,(4) Never,(4) Never,(2) Somewhat better job,(5) Not well at all,(4) Not too well,(4) Not too well,(3) Somewhat well,(2) Very well,(5) Not well at all,(1) Helped the US economy,(99) DONíT KNOW/SKIPPED/REFUSED (VOL),(1) Generally honest,(99) DONíT KNOW/SKIPPED/REFUSED (VOL),(2) Is not a racist,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(3) About the same,(2) Somewhat favor,(1) Strongly favor,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(5) Strongly oppose,(3) Neither favor nor oppose,(4) Somewhat oppose,(2) Somewhat favor,(3) Neither favor nor oppose,"(1) ""Delete your account""ù",(10) Thai,(1) Personal car,(2) Republican,,(2) Moderate Republican,,(1) Donald Trump,(2) Not employed,(1) Married/Living with partner,(4) Age 30-34,"(4) College graduate [Associates/community college, BA, or BS]",,"(1) White, non-Hispanic","(6) $50,000 to under $75,000",(2) Female,(FL) Florida,(3) South
4686,0.7117412234,(2) Web Interview,(1) English,(6) Somewhat disapprove,(2) Generally pessimistic,"(6) Immigration: DACA, border wall, immigrants, etc.",(3) Moderately,(5) Not at all,(4) Slightly,(5) Not at all,(4) Not functioning too well,(5) Not at all,(4) A little,,(1) Often,(3) Rarely,(4) Never,(4) Never,(4) Never,(3) About what you expected,(4) Not too well,(5) Not well at all,(5) Not well at all,(5) Not well at all,(4) Not too well,(5) Not well at all,(2) Hurt the US economy,(2) Mentally unfit to be president,(2) Generally dishonest,"(2) Done something unethical, but NOT illegal",(1) Is a racist,(2) Somewhat more,(2) Somewhat more,(1) Much more,(3) About the same,(1) Much more,(2) Somewhat more,(3) About the same,(1) Much more,(1) Much more,(2) Somewhat more,(1) Much more,(3) About the same,(1) Strongly favor,(3) Neither favor nor oppose,(5) Strongly oppose,(3) Neither favor nor oppose,(1) Strongly favor,(1) Strongly favor,(1) Strongly favor,(1) Strongly favor,(3) Neither favor nor oppose,(1) Strongly favor,(5) Strongly oppose,(1) Strongly favor,(3) Neither favor nor oppose,"(1) ""Delete your account""ù",(6) Italian,(1) Personal car,(3) Independent,,,(3) Donít lean,,,,(1) Age 15-17,,"(4) College graduate [Associates/community college, BA, or BS]","(1) White, non-Hispanic","(3) $20,000 to under $30,000",(2) Female,(CO) Colorado,(4) West
4687,1.352342358,(2) Web Interview,(1) English,(2) Somewhat approve,(1) Generally optimistic,(14) Other issues,(3) Moderately,(3) Moderately,(3) Moderately,(3) Moderately,(4) Not functioning too well,(4) A little,(5) Not at all,(8) 8,(4) Never,(4) Never,(4) Never,(4) Never,(4) Never,(2) Somewhat better job,(5) Not well at all,(2) Very well,(3) Somewhat well,(3) Somewhat well,(1) Extremely well,(4) Not too well,(1) Helped the US economy,(1) Mentally fit to be president,(1) Generally honest,(3) Not done anything wrong,(2) Is not a racist,(2) Somewhat more,(3) About the same,(3) About the same,(4) Somewhat less,(3) About the same,(4) Somewhat less,(3) About the same,(3) About the same,(3) About the same,(4) Somewhat less,(4) Somewhat less,(3) About the same,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(2) Somewhat favor,(1) Strongly favor,(5) Strongly oppose,(4) Somewhat oppose,(4) Somewhat oppose,(4) Somewhat oppose,(5) Strongly oppose,(1) Strongly favor,(1) Strongly favor,(2) Somewhat favor,(2) Somewhat favor,"(2) ""Take it down a notch""ù",(9) Mexican,(5) Bus,(3) Independent,,,(3) Donít lean,,,,(1) Age 15-17,,(3) Some college,(4) Other,"(5) $40,000 to under $50,000",(2) Female,(VA) Virginia,(3) South
382,0.0817762164,(2) Web Interview,(1) English,(6) Somewhat disapprove,(1) Generally optimistic,"(10) Foreign policy: international relations, mentions of specific countries, etc.",(4) Slightly,(3) Moderately,(3) Moderately,(3) Moderately,(4) Not functioning too well,(4) A little,(4) A little,(10) 10 - Certain will vote,(1) Often,(2) Sometimes,(2) Sometimes,(4) Never,(4) Never,(3) About what you expected,(4) Not too well,(4) Not too well,(4) Not too well,(3) Somewhat well,(3) Somewhat well,(4) Not too well,(1) Helped the US economy,(1) Mentally fit to be president,(1) Generally honest,"(2) Done something unethical, but NOT illegal",(1) Is a racist,(1) Much more,(1) Much more,(1) Much more,(1) Much more,(1) Much more,(1) Much more,(2) Somewhat more,(2) Somewhat more,(3) About the same,(5) Much less,(4) Somewhat less,(3) About the same,(1) Strongly favor,(2) Somewhat favor,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(2) Somewhat favor,(1) Strongly favor,(1) Strongly favor,(4) Somewhat oppose,(5) Strongly oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,"(2) ""Take it down a notch""ù",(10) Thai,(1) Personal car,(3) Independent,,,(2) Lean Republican,(2) Hillary Clinton,(1) Employed,(1) Married/Living with partner,(4) Age 30-34,(3) Some college,,(3) Hispanic,"(6) $50,000 to under $75,000",(2) Female,(FL) Florida,(3) South
392,2.4226840911,(2) Web Interview,(1) English,(6) Somewhat disapprove,(2) Generally pessimistic,"(5) Gun laws: school shootings, gun control, Second Amendment, assault rifles, guns, etc.",(2) Very,(3) Moderately,(4) Slightly,(5) Not at all,(4) Not functioning too well,(4) A little,(4) A little,(5) 5,(3) Rarely,(4) Never,(4) Never,(4) Never,(4) Never,(3) About what you expected,(4) Not too well,(2) Very well,(4) Not too well,(4) Not too well,(2) Very well,(5) Not well at all,(1) Helped the US economy,(2) Mentally unfit to be president,(2) Generally dishonest,(1) Done something illegal,(1) Is a racist,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(4) Somewhat less,(2) Somewhat more,(3) About the same,(2) Somewhat more,(3) About the same,(3) About the same,(3) About the same,(1) Strongly favor,(1) Strongly favor,(5) Strongly oppose,(4) Somewhat oppose,(1) Strongly favor,(2) Somewhat favor,(3) Neither favor nor oppose,(4) Somewhat oppose,(2) Somewhat favor,(1) Strongly favor,(1) Strongly favor,(1) Strongly favor,(2) Somewhat favor,"(1) ""Delete your account""ù",(2) Chinese,(1) Personal car,(3) Independent,,,(1) Lean Democrat,(2) Hillary Clinton,(1) Employed,(1) Married/Living with partner,(4) Age 30-34,"(4) College graduate [Associates/community college, BA, or BS]",,"(1) White, non-Hispanic","(6) $50,000 to under $75,000",(1) Male,(VA) Virginia,(3) South
393,3.6835621258,(2) Web Interview,(1) English,(7) Strongly disapprove,(2) Generally pessimistic,(9) War or threat of nuclear war,(1) Extremely,(1) Extremely,(5) Not at all,(5) Not at all,(5) Not functioning well at all,(4) A little,(4) A little,(10) 10 - Certain will vote,(3) Rarely,(3) Rarely,(1) Often,(2) Sometimes,(4) Never,(1) Much better job,(5) Not well at all,(5) Not well at all,(5) Not well at all,(5) Not well at all,(5) Not well at all,(5) Not well at all,(2) Hurt the US economy,(2) Mentally unfit to be president,(2) Generally dishonest,(1) Done something illegal,(1) Is a racist,(5) Much less,(1) Much more,(1) Much more,(1) Much more,(1) Much more,(1) Much more,(3) About the same,(2) Somewhat more,(2) Somewhat more,(3) About the same,(3) About the same,(2) Somewhat more,(1) Strongly favor,(1) Strongly favor,(1) Strongly favor,(3) Neither favor nor oppose,(1) Strongly favor,(2) Somewhat favor,(1) Strongly favor,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(3) Neither favor nor oppose,(5) Strongly oppose,(3) Neither favor nor oppose,(5) Strongly oppose,"(3) ""Keep doing what youíre doing""ù",(9) Mexican,(1) Personal car,(1) Democrat,(1) Strong Democrat,,,(4) Did not vote,(1) Employed,(5) Never married,(2) Age 18-22,(2) High school graduate,,(3) Hispanic,"(2) $10,000 to under $20,000",(2) Female,(OK) Oklahoma,(3) South
395,0.3302060367,(2) Web Interview,(1) English,(7) Strongly disapprove,(1) Generally optimistic,"(13) Political climate: lack of bipartisanship, division, lack of empathy, ideological differences, etc.",(3) Moderately,(3) Moderately,(4) Slightly,(4) Slightly,(4) Not functioning too well,(5) Not at all,(4) A little,(9) 9,(2) Sometimes,(4) Never,(4) Never,(4) Never,(4) Never,(4) Somewhat worse job,(3) Somewhat well,(3) Somewhat well,(5) Not well at all,(5) Not well at all,(4) Not too well,(5) Not well at all,(2) Hurt the US economy,(2) Mentally unfit to be president,(2) Generally dishonest,(1) Done something illegal,(1) Is a racist,(2) Somewhat more,(2) Somewhat more,(3) About the same,(2) Somewhat more,(2) Somewhat more,(4) Somewhat less,(3) About the same,(2) Somewhat more,(3) About the same,(2) Somewhat more,(3) About the same,(3) About the same,(1) Strongly favor,(1) Strongly favor,(5) Strongly oppose,(4) Somewhat oppose,(1) Strongly favor,(1) Strongly favor,(1) Strongly favor,(2) Somewhat favor,(1) Strongly favor,(1) Strongly favor,(1) Strongly favor,(1) Strongly favor,(4) Somewhat oppose,"(2) ""Take it down a notch""ù",(3) French,(1) Personal car,(3) Independent,,,(1) Lean Democrat,(2) Hillary Clinton,(1) Employed,(1) Married/Living with partner,(4) Age 30-34,"(4) College graduate [Associates/community college, BA, or BS]",,"(1) White, non-Hispanic","(8) $100,000 to under $150,000",(1) Male,(MO) Missouri,(2) Midwest
396,0.6973564535,(2) Web Interview,(1) English,(1) Strongly approve,(2) Generally pessimistic,"(6) Immigration: DACA, border wall, immigrants, etc.",(4) Slightly,(3) Moderately,(4) Slightly,(2) Very,(2) Functioning very well,(2) A lot,(4) A little,,(3) Rarely,(4) Never,(4) Never,(4) Never,(4) Never,(1) Much better job,(4) Not too well,(1) Extremely well,(1) Extremely well,(1) Extremely well,(1) Extremely well,(1) Extremely well,(1) Helped the US economy,(1) Mentally fit to be president,(1) Generally honest,(3) Not done anything wrong,(2) Is not a racist,(1) Much more,(2) Somewhat more,(3) About the same,(2) Somewhat more,(3) About the same,(4) Somewhat less,(1) Much more,(2) Somewhat more,(2) Somewhat more,(2) Somewhat more,(3) About the same,(4) Somewhat less,(5) Strongly oppose,(2) Somewhat favor,(1) Strongly favor,(1) Strongly favor,(4) Somewhat oppose,(5) Strongly oppose,(5) Strongly oppose,(4) Somewhat oppose,(5) Strongly oppose,(5) Strongly oppose,(1) Strongly favor,(5) Strongly oppose,(1) Strongly favor,"(3) ""Keep doing what youíre doing""ù",(5) Indian,(1) Personal car,(2) Republican,,(2) Moderate Republican,,,,,(1) Age 15-17,,"(4) College graduate [Associates/community college, BA, or BS]","(1) White, non-Hispanic","(5) $40,000 to under $50,000",(99) DONíT KNOW/SKIPPED/REFUSED (VOL),(LA) Louisiana,(3) South
